domain_userid,domain_sessionid,event_id,timestamp,category,property_type_id,min_price,max_price,min_bedrooms,max_bedrooms,min_area,max_area,keywords,location,amenities,price_period,furnishings
00032739-ba90-4a91-b4be-cb68f37de39b,d92280fe-85c2-40b7-a8c3-fbfda6f2599c,5669bb3c-628a-47e6-bf1a-91b2785e1312,11/21/2018 11:44,buy,,,,,,,,,[3159],[],,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,5b927ebd-5fd8-4e63-ae3c-e525d035204a,11/21/2018 11:44,rent,,,,,,,,marina wharf villas,[3162],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,62c8bf3e-ca33-4f26-869e-d67b22af6185,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
00032739-ba90-4a91-b4be-cb68f37de39b,d92280fe-85c2-40b7-a8c3-fbfda6f2599c,905a769c-1235-4566-a9c1-aa43da1390af,11/21/2018 11:44,buy,,,,,,,,,[3159],[],,
00032739-ba90-4a91-b4be-cb68f37de39b,d92280fe-85c2-40b7-a8c3-fbfda6f2599c,74d6c48f-9557-4625-a2c8-8b32eb5b8690,11/21/2018 11:44,buy,,,,,,,,,[3159],[],,
00032739-ba90-4a91-b4be-cb68f37de39b,d92280fe-85c2-40b7-a8c3-fbfda6f2599c,35ea184e-e778-4c4f-8363-ee23376f9f96,11/21/2018 11:44,buy,,,,,,,,,[3159],[],,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,b546354f-abc0-4fb7-b937-046f343d8c35,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,4e71e21c-5b98-493d-b71a-e837dddfebf1,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,ae3fd55b-0ebb-4e6a-a0b5-73b03efc9bb7,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,0eb4fb16-00b0-49c1-a712-ad8504f1dc3e,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,28a38b20-d00f-4f9c-b9be-8915d0914779,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,3ccf6b00-130f-486d-a95e-42a435ad8ddf,11/21/2018 10:23,rent,1,,,1,1,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,82c7323a-9f74-4856-9bd9-45028f1f8153,11/21/2018 10:24,rent,1,,,1,1,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,3fb15d87-2455-4b6d-afbd-5c1c5a0b4c94,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,15f9a135-ecb0-44db-8da7-7cbe2b8a9c8b,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,e0a1c42c-0de1-4948-8ede-e58aed34acc9,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,e9578149-c5d1-4063-a13f-37651f4eb95f,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,0b857fa4-1dd9-4f14-9cdc-6aedf0dbc751,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,cba2f0de-ce79-4801-bce2-9351c6fd9fe2,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,f701f5cc-3ade-4264-aefe-01270086f355,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,39a012df-eb6d-4189-9e1e-97fcb9c9e5b0,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,014fab5b-71d5-4852-9ea1-987ed891f872,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,6b5aea5d-36c9-4a1c-8e9d-d91986bdb76a,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,3007a460-8850-4fa8-acf1-49fe1e42d923,11/21/2018 11:45,buy,35,,,,,,,,[3162],[],,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,2c245c87-cc3c-4d8a-8508-67249d310b2a,11/21/2018 10:23,rent,1,,,1,1,,,,[],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,d9acd1c9-ce1b-42f3-8d29-1f17b16fd7c3,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,9014a9b2-c29e-4b8a-a2bb-a66c9cc40851,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,c701ec76-c040-4b17-849b-7f89639efbe9,11/21/2018 11:45,buy,,,,,,,,marina wharf villas,[3162],[],,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,9d327da7-17a9-4c43-93ad-c81726e9b0a0,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,e50cc282-627a-4221-a0c5-236fc059af7f,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,7bb27de1-9efc-41ef-87df-34b7c91f7eab,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,462a74d5-f6e1-41ca-b603-bba8d2f4cb97,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,bd3df43e-d755-4420-97be-0aeae7888a05,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,250b1b04-772a-4dcd-a7b1-a13855f1e50f,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,34c23e75-91c0-4401-8ab8-565f543e1d8d,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,f18e1473-6f47-443d-baab-fa03265199ae,11/21/2018 10:19,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,f294d522-1751-402b-be67-e844e851c6f2,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,dc88bdbe-4d1a-4d56-9eb7-54439049c3a9,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,83529249-a72a-45ed-a7bf-8c8786e59ce9,11/21/2018 6:50,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,514ace44-4a82-431d-8491-646f69c2d35c,11/21/2018 6:50,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,6ea5a6df-3add-44e6-bbfe-fa87b85a98b6,11/21/2018 6:50,buy,1,,2100000,4,,,,pet,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,fd7ea486-6662-4f02-af49-07805e3b5734,11/21/2018 6:48,buy,1,,2100000,4,,,,pets,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,84a47ce2-7f1d-4d05-9009-9c88443c973d,11/21/2018 6:53,buy,1,,2100000,4,,,,dog,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,8073747f-ea50-4be7-a1ab-ac156a408661,11/21/2018 6:45,buy,1,,2100000,4,,,,dogs friendly,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,065ab2e1-d835-4d95-b5a5-732a822fd603,11/21/2018 6:45,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,30b5c9ec-a89c-429c-8c94-b457433c61e7,11/21/2018 6:50,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,a11567bc-7ca8-43f9-aff5-e8c913e4b3a8,11/21/2018 6:49,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,c0edda34-d0ca-4de4-ba49-546a5e9357f0,11/21/2018 6:50,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,d7afd489-5319-40a7-9c73-3734f9719ce5,11/21/2018 6:50,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,caaa30cf-68c1-4009-983f-be8bc52d3c5f,11/21/2018 6:55,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,cbe54b73-399a-4e0c-bdbf-8113090f44ca,11/21/2018 6:54,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,8722fc2d-b865-49b5-bb22-7e277d16d1cc,11/21/2018 6:50,buy,1,,2100000,4,,,,,[],[],,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,f16ae112-fce0-4821-b72b-e19095ac897a,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,5c0d6b01-9579-45eb-9200-ac2c4a4d0734,11/21/2018 10:23,rent,1,,,1,1,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,a2734df7-3b5b-47a7-a40b-cfcfbb4687f4,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,38330dec-8c90-4f6c-85b9-45f66a35791d,11/21/2018 10:23,rent,1,,,1,1,,,,[],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,53626ca1-14a5-413a-bcd9-3296546b5080,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,9361e8bc-9cf0-4a18-b7e0-73a95e0299f1,11/21/2018 11:45,buy,35,,,,,,,,[3162],[],,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,eb09bdc8-074d-4430-a08e-a7a33db4cbb6,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,0cbf5fb6-c357-4d8f-ab76-4e2acb741665,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,0e0cdc35-13e4-401b-a018-78643c753c84,11/21/2018 11:45,buy,35,,,,,,,,[3162],[],,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,a1a696ba-5d0b-4144-af83-521c2340700e,11/21/2018 11:42,rent,,,,,,,,,[3070],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,f9951b54-08ef-40bb-a27c-c95b044b1547,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
0006bf4b-263a-4ea3-a4dc-47ed38e70993,ad5162da-073e-470f-be60-bb6f16db70d4,c633b3f3-b46b-4b81-8bc8-25898f03f1e0,11/21/2018 19:59,rent_commercial,4,,,,,,,,[4],[],yearly,
0006bf4b-263a-4ea3-a4dc-47ed38e70993,ad5162da-073e-470f-be60-bb6f16db70d4,110a2c9c-57c7-47e2-bbf5-62a6e70592e6,11/21/2018 19:59,rent_commercial,4,,,,,,,,[4],[],yearly,
001093cb-65cb-4800-8844-a92124a29fd9,fa81f414-b3d6-463e-aa9e-7935adb466da,02a12e5f-1bb2-4df8-93fa-de8129e3a46f,11/21/2018 17:39,rent,35,,,,,,,,[297],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,cdd9f2dc-450f-467a-9d2c-c8a629f1eaf6,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,d33a615e-0d41-4082-a5f4-5e42baa45f17,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,3abbea8a-5792-4396-b424-c0e59926934c,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,df9712f9-22d4-47c2-8597-43ef9d26e598,11/21/2018 10:18,rent,1,,,,,,,views,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,2ac03f16-6ae5-40d1-a8a0-d864ff87578b,11/21/2018 10:20,rent,1,,,,,,,fountain,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,de496f77-eb30-4026-bd73-205b0d21ba0b,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,2dc55fdb-f6fb-4454-bba6-eb8d1f988557,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,8559c1e4-db18-4dc1-b6d0-290e1dc415aa,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,78018284-08b8-4278-b3cf-896488f68ef9,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,1fd5a591-835c-4956-9ac8-9416ff2e9459,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,aa2511e2-d7fa-47e0-95ba-e92a789633ec,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,cf9d2a81-5695-4c56-9ec9-ef77a2a7ba90,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,4ba0dca5-33aa-425f-96df-4b42321c90a2,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
0006bf4b-263a-4ea3-a4dc-47ed38e70993,ad5162da-073e-470f-be60-bb6f16db70d4,87459329-1605-4485-a6a8-036c64e5070e,11/21/2018 20:00,rent_commercial,4,,,,,,,,[4],[],yearly,
0003351e-2811-4615-8263-7f5058affd98,3e027508-ef99-4c41-b1c0-853ce4fe843d,24c4d4ea-42d0-4216-81db-1047b2581c6b,11/22/2018 3:09,rent,,,,,,,,,[],[],yearly,
0003351e-2811-4615-8263-7f5058affd98,3e027508-ef99-4c41-b1c0-853ce4fe843d,a18fcf3e-b78b-4a5d-b259-639489595eaa,11/22/2018 3:10,rent,,,,,,,,,[],[],yearly,
0003351e-2811-4615-8263-7f5058affd98,3e027508-ef99-4c41-b1c0-853ce4fe843d,c711c97d-2afe-49dc-90ff-6a959dc516e7,11/22/2018 3:10,rent,,,,,,,,,[],[],yearly,
000131eb-0f84-465b-b554-d132c9e61fe1,83d7c1a3-a5df-4997-bc73-55e8b147a227,b3f08688-e836-447f-92bf-c4d327f3abf8,11/21/2018 8:47,buy,,,,,,,,,[],[],,
000dda0a-6fa9-45f3-a97f-da692c26161c,b374c95a-7ffb-4ee2-89db-666329b400b4,730c34c7-ddad-4243-b6e4-10866474754c,11/21/2018 9:11,buy,1,,,,,,,,"[4,5,2,3]",[],,
000dda0a-6fa9-45f3-a97f-da692c26161c,b374c95a-7ffb-4ee2-89db-666329b400b4,c657f84e-adcb-4fb8-a84d-cd2a2cf57022,11/21/2018 9:11,buy,1,,,,,,,,"[4,5,2,3]",[],,
000131eb-0f84-465b-b554-d132c9e61fe1,83d7c1a3-a5df-4997-bc73-55e8b147a227,a547b2ee-c172-4658-98f0-b59332561aa8,11/21/2018 8:49,buy,,,,,,,,,[50],[],,
000131eb-0f84-465b-b554-d132c9e61fe1,83d7c1a3-a5df-4997-bc73-55e8b147a227,e062f9da-76cc-42d0-9000-7b979a0ebc42,11/21/2018 8:46,buy,,,,,,,,,[],[],,
000131eb-0f84-465b-b554-d132c9e61fe1,83d7c1a3-a5df-4997-bc73-55e8b147a227,6a5364a8-957e-4c1c-9060-f8123a363b1e,11/21/2018 8:49,buy,,,,,,,,,[50],[],,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,3c4cb155-3dde-479c-8d07-8688fad1dd55,11/21/2018 10:23,rent,1,,,1,1,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,3bc1829f-4792-4663-abdb-78f401d7f364,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,c4f5df27-21e5-486f-b521-870651ae561d,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,429b2c5f-342e-4df7-ab63-a760876b3c95,11/21/2018 10:23,rent,1,,,1,1,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,c4cc68a4-38a8-4004-a789-ad944364c785,11/21/2018 10:22,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,0ef8c3ab-f95c-47d0-b878-5397c05448b9,11/21/2018 10:23,rent,1,,,1,1,,,,[],[],yearly,
0003351e-2811-4615-8263-7f5058affd98,3e027508-ef99-4c41-b1c0-853ce4fe843d,3d42ebf5-a519-4b28-991c-9904e4e540c2,11/22/2018 3:12,rent,,,,,,,,,[],[],yearly,
0003351e-2811-4615-8263-7f5058affd98,3e027508-ef99-4c41-b1c0-853ce4fe843d,65c8f693-61a7-41ae-a612-c34072a60d7b,11/22/2018 3:13,rent,,,,,,,,,[],[],yearly,
0003351e-2811-4615-8263-7f5058affd98,3e027508-ef99-4c41-b1c0-853ce4fe843d,513ba0c2-fc8b-4fd2-94ee-8116e3e6ab23,11/22/2018 3:09,rent,,,,,,,,,[],[],yearly,
0003351e-2811-4615-8263-7f5058affd98,3e027508-ef99-4c41-b1c0-853ce4fe843d,19db67c0-16dc-4c02-86fd-fc7df1a051f8,11/22/2018 3:10,rent,,,,,,,,,[],[],yearly,
0003351e-2811-4615-8263-7f5058affd98,3e027508-ef99-4c41-b1c0-853ce4fe843d,e128c8fd-b5ff-4bf7-951b-6a70402438a9,11/22/2018 3:10,rent,,,,,,,,,[],[],yearly,
